time,x_actual_x,x_actual_y,x_actual_z,x_desired_x,x_desired_y,x_desired_z,x_d_actual_x,x_d_actual_y,x_d_actual_z,x_d_desired_x,x_d_desired_y,x_d_desired_z,disturbance_x,disturbance_y,disturbance_z,force,force_error,tracking_error,stiffness,dotproduct
0.6662064,-0.3717397,1.161338,-0.238372,-0.3358408,1.172798,-0.2644818,-0.04555648,0.07249594,0.01634061,-0.09741537,0.1015371,-0.02784383,0,0,0,0.418348,-9.581652,0.01034034,255,-0.02649893
0.6879807,-0.3725306,1.163406,-0.2383558,-0.33752,1.17541,-0.2652134,-0.03319675,0.06667415,0.007302213,-0.07012752,0.0953421,-0.02750959,0,0,0,0.3939591,-9.606041,0.01050864,255,-0.03038632
0.7080612,-0.3733263,1.165533,-0.2383845,-0.3390462,1.177981,-0.2658719,-0.03637335,0.09507675,0.0007456141,-0.07722725,0.120148,-0.03364583,0,0,0,0.3751662,-9.624834,0.01054117,255,-0.03191398
0.7334442,-0.3737645,1.166656,-0.2384157,-0.339906,1.179369,-0.2662596,-0.03928025,0.1050141,-0.001418315,-0.07534428,0.1269068,-0.03250942,0,0,0,0.2770269,-9.722973,0.010545,255,-0.02446106
0.7539215,-0.3749279,1.169385,-0.2385992,-0.3418225,1.182326,-0.2671738,-0.01645774,0.04217855,-0.001168517,-0.0322898,0.05213109,-0.01455946,0,0,0,0.2534075,-9.746593,0.01053992,255,-0.0224144
0.7772751,-0.3758272,1.171325,-0.238829,-0.3433434,1.184735,-0.2680066,-0.05970414,0.140056,-0.009421496,-0.09835521,0.151784,-0.04692088,0,0,0,0.2307058,-9.769294,0.01046134,255,-0.01609895
0.7963486,-0.3770458,1.173862,-0.239282,-0.3448703,1.187302,-0.2691789,-0.03892704,0.08399727,-0.009943651,-0.06583734,0.104251,-0.03604638,0,0,0,0.5246625,-9.475338,0.01035382,255,-0.03791279
0.8210297,-0.377299,1.175092,-0.2393668,-0.3459024,1.189161,-0.2701904,-0.06365988,0.1325105,-0.02366481,-0.07976285,0.1341047,-0.06124514,0,0,0,0.6738498,-9.32615,0.01013224,255,-0.03324232
0.8424835,-0.3775527,1.176488,-0.2394256,-0.3471612,1.191653,-0.2715622,-0.01039058,0.05047061,-0.003483093,-0.04235358,0.07628562,-0.04150605,0,0,0,1.109387,-8.890613,0.01006352,255,-0.05987631
0.8669891,-0.3778671,1.178218,-0.2395188,-0.3485013,1.194592,-0.2730325,-0.01178102,0.06480805,-0.002728702,-0.05844846,0.1157069,-0.06369554,0,0,0,1.449494,-8.550506,0.01001044,255,-0.08369626
0.8960266,-0.378185,1.180035,-0.2396573,-0.3498288,1.197981,-0.2747465,-0.01273908,0.0700879,-0.003777048,-0.05429506,0.1190688,-0.05957061,0,0,0,1.756398,-8.243602,0.00992343,255,-0.08764218
0.9128799,-0.3784204,1.181428,-0.2397868,-0.3507639,1.200437,-0.2764843,-0.01067488,0.06103478,-0.004651871,-0.04458209,0.1138107,-0.05755989,0,0,0,2.045465,-7.954535,0.009784473,255,-0.09244314
0.9327469,-0.3785527,1.182229,-0.2398644,-0.3514627,1.202191,-0.2779445,-0.01526549,0.09035595,-0.008396215,-0.06064835,0.1593193,-0.1127033,0,0,0,2.457343,-7.542657,0.009649585,255,-0.09307151
0.9531631,-0.3787218,1.183229,-0.2399492,-0.352532,1.204737,-0.2799935,-0.006390999,0.0386395,-0.003746547,-0.03373475,0.08465125,-0.07049666,0,0,0,2.876168,-7.123832,0.009566661,255,-0.1352022
0.974556,-0.3789144,1.184264,-0.2400342,-0.3535988,1.207534,-0.2815689,-0.008411409,0.0497806,-0.004216081,-0.05318726,0.1266841,-0.1019213,0,0,0,3.127301,-6.872699,0.00947422,255,-0.162066
0.9972763,-0.3791146,1.185184,-0.2401189,-0.3543574,1.209419,-0.2823687,-0.008942018,0.04804328,-0.003947776,-0.0495493,0.1298835,-0.07317505,0,0,0,3.409526,-6.590474,0.009385183,255,-0.1723565
1.019264,-0.3795065,1.186994,-0.2402712,-0.3556717,1.212375,-0.2835138,-0.008581487,0.03944061,-0.003632889,-0.03251717,0.0808024,-0.03427741,0,0,0,3.688895,-6.311106,0.009305355,255,-0.1819121
1.042152,-0.3799117,1.188884,-0.2404116,-0.3570501,1.215096,-0.2843983,-0.01822455,0.08415551,-0.007078086,-0.06111016,0.1374546,-0.05324361,0,0,0,3.832623,-6.167377,0.009157313,255,-0.1819231
1.063324,-0.3801862,1.190101,-0.2404985,-0.3579509,1.216723,-0.2848926,-0.01777422,0.08292545,-0.006160057,-0.06046321,0.1193472,-0.03879842,0,0,0,4.056555,-5.943445,0.009012803,255,-0.1886406
1.08876,-0.3806471,1.192188,-0.240635,-0.359481,1.219407,-0.2856402,-0.01249756,0.05537947,-0.003956452,-0.04101223,0.07406,-0.02250402,0,0,0,4.374602,-5.625398,0.008924394,255,-0.2138551
1.110405,-0.3811631,1.194444,-0.2408038,-0.3610439,1.222268,-0.2864344,-0.01887695,0.0855127,-0.00559082,-0.0626709,0.1099365,-0.030625,0,0,0,4.485318,-5.514682,0.008775117,255,-0.2384505
1.130486,-0.3816942,1.196576,-0.241021,-0.362274,1.224964,-0.2871343,-0.02381575,0.1041098,-0.007790493,-0.07213359,0.1320478,-0.03665273,0,0,0,4.525606,-5.474394,0.008591294,255,-0.2393002
1.15229,-0.3822121,1.198612,-0.2412317,-0.3633904,1.227607,-0.2878627,-0.02555554,0.1025835,-0.01045108,-0.05918887,0.1297265,-0.03367635,0,0,0,4.546772,-5.453228,0.00836958,255,-0.225168
1.175949,-0.3825178,1.199809,-0.2413505,-0.3639101,1.22889,-0.2882114,-0.02464597,0.0969045,-0.01003086,-0.05313294,0.1258056,-0.03466549,0,0,0,4.5892,-5.4108,0.008150785,255,-0.2326734
1.196754,-0.3831189,1.202164,-0.2415944,-0.3649532,1.23206,-0.2889472,-0.01283607,0.05025324,-0.004984785,-0.02181845,0.05387172,-0.01464156,0,0,0,4.623306,-5.376694,0.008024025,255,-0.2462818
1.219414,-0.3836425,1.204244,-0.2418241,-0.3656843,1.234771,-0.2895356,-0.02795921,0.1095136,-0.01134448,-0.04851624,0.147445,-0.03422474,0,0,0,4.588757,-5.411243,0.007757456,255,-0.2218302
1.244026,-0.3839789,1.20545,-0.241981,-0.3660952,1.236318,-0.2898877,-0.02411142,0.0958143,-0.01057954,-0.03367253,0.1248573,-0.02709944,0,0,0,4.561777,-5.438223,0.007498086,255,-0.2013854
1.264427,-0.3846637,1.207895,-0.2423355,-0.3669451,1.239449,-0.2906408,-0.0134117,0.04805353,-0.006253802,-0.01638059,0.06166362,-0.01403541,0,0,0,4.513627,-5.486373,0.00733272,255,-0.1851413
1.286423,-0.3853006,1.210128,-0.2426491,-0.3675633,1.241963,-0.2912555,-0.03302491,0.1179463,-0.01709667,-0.04098257,0.1509612,-0.03631461,0,0,0,4.574461,-5.425539,0.00695599,255,-0.1930575
1.316368,-0.3859213,1.21223,-0.2429373,-0.3682248,1.244787,-0.2921101,-0.029445,0.1032297,-0.01450066,-0.02858383,0.1162423,-0.02842262,0,0,0,4.589618,-5.410382,0.006616075,255,-0.1793908
